,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
277075,Extra Duty/Signing Bonus Pay,Undistributed,NaN,TRANSITION FAC,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,2502.901,NaN,NaN,General Fund,NaN
36302,Professional Salaries,Basic Educational Services,NaN,AD SOC SC,NaN,General,School,0.5,Instruction,NaN,NaN,30139.67,NaN,NaN,General Fund,NaN
413437,Professional Salaries,Career and Technology,NaN,T-HS/V TECH ED,NaN,General,School,1,Instruction,NaN,NaN,52514.92,NaN,NaN,General Fund,NaN
329243,Extra Duty/Signing Bonus Pay,Undistributed,NaN,JR HONOR SOC,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,800.0803,NaN,NaN,General Fund,NaN
215918,Professional Salaries,NaN,NaN,NaN,NaN,NaN,School,0.5,NaN,NaN,NaN,27847.23,NaN,NaN,General Fund,NaN
300334,NaN,Misc,NaN,Food Service Worker - Regular,NaN,NaN,NaN,0.73,NaN,FOOD SERVICE WORKER,NaN,19548.4,NaN,NaN,School Nutrition Service Fund,NaN
129362,Personal Services - Education Assistants,Instruction - SPED,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Special Education Instruction,28.11,NaN,NaN,General Purpose School,NaN
394011,Salaries And Wages For Teachers And Other Professi,Accelerated Education,Training And Recruiting,SKILLS SPECIALIST,Instruction And Curriculum,Extra Duty Wages,School,NaN,Curriculum Development And Instructional Staff Dev,TEACHER MASTER,NaN,1040.095,NaN,NaN,Esea Title Ii Part A Teacher & Principal Training,MISCELLANEOUS
142212,Professional Salaries,Basic Educational Services,NaN,T-EL P.E.,NaN,General,School,0.67,Instruction,NaN,NaN,39481.61,NaN,NaN,General Fund,NaN
230769,Professional Salaries,Basic Educational Services,NaN,T-HS ORCHESTRA,NaN,Orchestra,School,0.5,Instruction,NaN,NaN,26256.95,NaN,NaN,General Fund,NaN
265569,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Food Service,NaN,Food Services,NaN,NaN,2310.08,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
352495,Extra Duty/Signing Bonus Pay,Undistributed,NaN,UIL COORDINATOR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,441.0646,NaN,NaN,General Fund,NaN
161685,Career Ladder,Accelerated Education,NaN,CL,NaN,General,School,NaN,Instruction,NaN,NaN,3277.845,NaN,NaN,General Fund,NaN
27387,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,33455.68,NaN,NaN,General Fund,NaN
174862,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY,"Teacher, Elementary",NaN,NaN,MATH / SCIENCE,NaN,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,NaN,290.0407,MATH/SCIENCE,n/a,NaN,INSTRUCTIONAL STAFF
267561,Professional Salaries,Bilingual Education,NaN,T-EL 2ND ESL,NaN,General,School,1,Instruction,NaN,NaN,53775.21,NaN,NaN,General Fund,NaN
395281,General Supplies,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,20519.68,NaN,NaN,General Fund,NaN
122361,NaN,NaN,"SUMMER ED, ARTS & SPORTS - SEAS",Teacher (Afterschool),NaN,NaN,OFFICE OF COMMUNITY & EDUCATION PROGRAMS,0.025,NaN,NaN,NaN,2306.648,AFTERSCHOOL PROGRAMS,NaN,NaN,NaN
257255,Misc Operating Expenses,Nondisciplinary AEP-Basic Services,NaN,NaN,NaN,General,Independence,NaN,Instruction,NaN,NaN,500.13,NaN,NaN,General Fund,NaN
188564,Employee Allowance,Special Education,NaN,TRAVEL,NaN,Speech Therapist,School,NaN,Instruction,NaN,NaN,432.8077,NaN,NaN,General Fund,NaN
364542,Extra Duty/Signing Bonus Pay,Disciplinary AEP-Basic Services,NaN,NaN,NaN,General,Secondary Alternative Learning Center,NaN,Instruction,NaN,NaN,26966.81,NaN,NaN,General Fund,NaN
76453,Professional Salaries,Bilingual Education,NaN,T-EL 5TH ESL,NaN,General,School,1,Instruction,NaN,NaN,54202.43,NaN,NaN,General Fund,NaN
101717,Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,69445.92,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
316637,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,55.8,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
118232,Regular *,NaN,Regular Instruction,"TCHR, K-8 MUSIC VOCAL",NaN,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,0.5,Elementary,NaN,NaN,51077.36,TEACHER,NaN,General,SCHOOL BASED MANAGEMENT
270424,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,SPECIAL PROGRAM FUNDING,PROFESSIONAL-INSTRUCTIONAL,NaN,436.39,NaN,Regular,NaN,REGULAR INSTRUCTION
82391,EMPLOYEE BENEFITS,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,"Teacher, Short Term Sub",NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,NaN,0.33,NaN,Regular,NaN,REGULAR INSTRUCTION
334654,BOOKS AND PERIODICALS,GENERAL ELEMENTARY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,(blank),NaN,NaN,NaN,NaN,A TO Z GRANT,UNDESIGNATED,NaN,1122.24,NaN,Regular,NaN,REGULAR INSTRUCTION
367662,Career Ladder,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1638.998,NaN,NaN,General Fund,NaN
204924,Substitute Teachers,Undistributed,NaN,NaN,NaN,General,Second Languages/Journalism,NaN,Instruction,NaN,NaN,6516.516,NaN,NaN,General Fund,NaN
354738,Periodicals,NaN,Support Services - Instructional Staff,NaN,NaN,"Newspapers, Periodicals, Films And Filmstrips *",NaN,NaN,School Library Services *,NaN,NaN,-0.12,NaN,NaN,General,SCHOOL BASED MANAGEMENT
348026,Salaries And Wages For Teachers And Other Professi,Athletics And Related Activities,Operations,"TEACHER, REGULAR",All Campus Payroll,Extra Duty Wages,School,NaN,Extracurricular Activities,TEACHER BACHELOR,NaN,7000.61,NaN,NaN,General Operating Fund,EX-CURR ATHLETIC
181061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4115.92,NaN,NaN,NaN,NaN
256478,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,1034.563,NaN,NaN,General Fund,NaN
129696,General Supplies,Athletics and Related,NaN,NaN,NaN,Girls Track,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,2999.78,NaN,NaN,Athletics,NaN
186405,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Police Dept Courier Srvc,School,NaN,Food Services,NaN,NaN,1706.03,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
428230,Salaries for Support Personnel,Nondisciplinary AEP-Basic Services,NaN,DATA PROC ASTII,NaN,General,Independence,1,School Leadership,NaN,NaN,54296.86,NaN,NaN,General Fund,NaN
210554,Salaries And Wages For Substitute Professionals,Career And Technology,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,DEGREED SUBSTITUTE,NaN,1036.988,NaN,NaN,General Operating Fund,REGULAR PAY
343357,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,603.175,NaN,NaN,General Fund,NaN
101288,Professional Salaries,Bilingual Education,NaN,T-EL 1ST BIL,NaN,General,School,1,Instruction,NaN,NaN,54877.36,NaN,NaN,General Fund,NaN
36244,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Student Success Initiative Grant,"TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School,NaN,Instruction,TEACHER MASTER,Basic Educational Services - District Objective,59.27229,NaN,NaN,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
290051,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Secretary, Executive II",NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,NaN,1.6,TEACHER LEARNING & LEADERSHIP,n/a,NaN,INSTRUCTIONAL STAFF
209121,Career Ladder,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1638.188,NaN,NaN,General Fund,NaN
335341,SALARIES OF PART TIME EMPLOYEE,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,"Principal, Asst Hrly",NaN,NaN,NaN,0.396552,NON-PROJECT,ADMINISTRATOR,NaN,51263.26,NaN,Regular,NaN,SCHOOL ADMINISTRATION
439877,Employee Travel (including In-District and Out-of-District),Undistributed,NaN,NaN,NaN,General,Science and Health,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1431.96,NaN,NaN,General Fund,NaN
28422,Extra Duty/Signing Bonus Pay,Special Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,10659.69,NaN,NaN,General Fund,NaN
188244,Professional Salaries,Undistributed,NaN,SR SCHOOL LAW,NaN,General,Legal Services,1,General Administration,NaN,NaN,126835.5,NaN,NaN,General Fund,NaN
275149,General Supplies,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,16970.44,NaN,NaN,General Fund,NaN
82526,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION, AIDE,SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,BUS DRIVER AIDE,transportation - Second Runs,995.42,NaN,NaN,General Operating Fund,EXTRA RUN
107223,General Supplies,Career and Technology,NaN,NaN,NaN,Construction/Bldg Maint,School,NaN,Instruction,NaN,NaN,4200.48,NaN,NaN,General Fund,NaN
195706,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Laundry,School,NaN,Food Services,NaN,NaN,1315.6,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
168607,ADDITIONAL/EXTRA DUTY PAY/STIP,EARLY CHILDHOOD,FEDERAL GDPG FUND - FY,"Teacher, Elementary",NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,EARLY READING FIRST,PROFESSIONAL-INSTRUCTIONAL,NaN,5481.78,EARLY EDUCATION,n/a,NaN,REGULAR INSTRUCTION
114843,Professional Salaries,Undistributed,NaN,COUNS- HS,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,73251.43,NaN,NaN,General Fund,NaN
23543,Professional Salaries,Accelerated Education,NaN,T-HS AVID,NaN,AVID supplement,School,1,Instruction,NaN,NaN,52627.37,NaN,NaN,General Fund,NaN
279489,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Human Resources,NaN,General Administration,NaN,NaN,1035.283,NaN,NaN,General Fund,NaN
242080,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,29804.96,NaN,NaN,General Fund,NaN
3461,OTHER CERTIFIED,NaN,NaN,"TEACHER, TITLE I-ELEM",NaN,NaN,School,0.034049,EXCEPTIONAL,NaN,NaN,2032.724,NaN,NaN,FED THRU STATE-CASH ADVANCE,IDEA PART B
401994,Reading Materials including Library Books,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,-0.23,NaN,NaN,General Fund,NaN
306389,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,School,NaN,School Leadership,NaN,NaN,0.17,NaN,NaN,General Fund,NaN
109401,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,8968.235,NaN,NaN,Title I- Part A,NaN
284936,Salaries for Support Personnel,Prekindergarten,NaN,TCHR ASST,NaN,General,Prekindergarten Demonstration School,1,Instruction,NaN,NaN,30583.01,NaN,NaN,NaN,NaN
444391,Reproduction Services,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,199.68,NaN,NaN,General Fund,NaN
95850,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"TEACHER, REGULAR",Performing Arts Department,Extra Duty Wages,Unallocated,NaN,Extracurricular Activities,TEACHER BACHELOR,Undistributed,149.5025,NaN,NaN,General Operating Fund,EXTENDED DAYS
400200,Extra Duty Pay/Overtime For Support Personnel,"Title I, Part A Schoolwide Activities Related To State Comp",Operations,"TRANSPORTATION,BUS DR. SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,BUS DRIVER,NaN,2039.03,NaN,NaN,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
316602,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Teacher Secondary (Middle),NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-21.94,NaN,n/a,NaN,EMPLOYEE BENEFITS
21041,ELECTRONIC MEDIA MATERIALS,INFORMATION SYSTEMS SERVICES,GENERAL FUND,(blank),NaN,NaN,ENTERPRISE PRODUCT MANAGEMENT,NaN,NON-PROJECT,UNDESIGNATED,NaN,992.28,ITEMGG-PRODUCT MANAGEMENT,n/a,NaN,CENTRAL
309832,General Supplies,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,2999.62,NaN,NaN,Title I- Part A,NaN
400702,Employee Allowance,Accelerated Education,NaN,CELL PHONE,NaN,Mobile Phone,Educational Support Services,NaN,Social Work Services,NaN,NaN,393.7006,NaN,NaN,General Fund,NaN
53462,Employee Travel (including In-District and Out-of-District),Accelerated Education,NaN,NaN,NaN,Cycle (used for grants),School,NaN,Community Services,NaN,NaN,700.28,NaN,NaN,Century Community Learning,NaN
301955,Salaries for Support Personnel,Undistributed,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,34838.26,NaN,NaN,General Fund,NaN
159949,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,3103.441,NaN,NaN,General Fund,NaN
364226,Professional Salaries,Bilingual Education,NaN,BIL INST/CURR S,NaN,Bilingual & Spec Lang,School,1,Instruction,NaN,NaN,69054.95,NaN,NaN,General Fund,NaN
180605,Professional Salaries,Basic Educational Services,NaN,T-EL MUSIC,NaN,Choral Music,School,1,Instruction,NaN,NaN,52514.64,NaN,NaN,General Fund,NaN
116792,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,0.010776,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,321.7175,TEACHER LEARNING & LEADERSHIP,Regular,NaN,INSTRUCTIONAL STAFF
317357,SALARIES OF REGULAR EMPLOYEES,GUIDANCE SERVICES,GENERAL FUND,"School Counselor, High Sch",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,3822.067,NaN,Regular,NaN,STUDENTS
427740,Salaries for Support Personnel,Undistributed,NaN,CLERK III- SCH,NaN,General,School,1,School Leadership,NaN,NaN,29492.83,NaN,NaN,General Fund,NaN
174603,Personal Services - Education Assistants,Instruction - SPED,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Special Education Instruction,56.27,NaN,NaN,General Purpose School,NaN
86244,EMPLOYER PD MED CONTRIBUTION,CARE & UPKEEP OF BLDG SERVICES,GENERAL FUND,Custodian Asst II,NaN,NaN,ALL SCHOOLS-UNDISTRIBUTED,NaN,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,461.51,NaN,n/a,NaN,OPERATION AND MAINT OF PLANT
159832,Personal Services - Substitute Teachers Certified,Instruction - Regular,NaN,NaN,SUBSTITUTE TEACHER,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Regular Instruction,70.67,NaN,NaN,General Purpose School,NaN
333142,NaN,Accelerated Education,NaN,NaN,NaN,AYP-Secondary,Educator Quality,NaN,Curriculum & Instructional Staff Development,NaN,NaN,3609.57,NaN,NaN,General Fund,NaN
224686,Professional Salaries,Undistributed,NaN,MS ASST PRIN,NaN,General,School,0.5,School Leadership,NaN,NaN,35907.23,NaN,NaN,General Fund,NaN
299018,Supplies and Materials,NaN,Regular Instruction,NaN,NaN,Supplies And Materials,NaN,NaN,Elementary,NaN,NaN,841.84,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOLWIDE
165156,Miscellaneous Contracted Srvcs,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,19999.78,NaN,NaN,Title I- Part A,NaN
74424,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Secretary - Part-Time,NaN,NaN,SECONDARY PATHWAYS,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,168.67,NaN,n/a,NaN,EMPLOYEE BENEFITS
115432,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker I,NaN,NaN,FOOD AND NUTRITION SERVICES,0.005791,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,94.20274,FOOD SERVICES,n/a,NaN,FOOD SERVICES OPERATIONS
82432,OTHER PERSONAL SERVICES,NaN,NaN,SUBSTITUTE BUS ASSISTANT,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,2312.302,NaN,NaN,GENERAL FUND,NaN
379248,Employee Travel (including In-District and Out-of-District),Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,-0.48,NaN,NaN,General Fund,NaN
184666,TRAVEL - EMPLOYEES,"REGULAR, TITLE I",TITLE I-A NCLB - DISADVANTAGED CHILDREN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,181.1,NaN,NaN,Title I,NaN
198051,Professional Salaries,Basic Educational Services,NaN,T-EL 1ST BIL,NaN,General,School,1,Instruction,NaN,NaN,53189.87,NaN,NaN,General Fund,NaN
127910,Professional Salaries,Basic Educational Services,NaN,AD SOC SC,NaN,General,School,0.67,Instruction,NaN,NaN,35637.27,NaN,NaN,General Fund,NaN
164605,Extra Duty/Signing Bonus Pay,Undistributed,NaN,HS STUDENT COUN,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,3446.8,NaN,NaN,General Fund,NaN
146671,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Student Success Initiative Grant,"TEACHER, REGULAR",Instruction And Curriculum,Extended Week,School,NaN,Instruction,TEACHER BACHELOR,Basic Educational Services - District Objective,104.0213,NaN,NaN,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
425891,Career Ladder,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1638.638,NaN,NaN,General Fund,NaN
123347,SALARIES OF REGULAR EMPLOYEES,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Secondary (High)",NaN,NaN,NaN,1.000028,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,88577.8,NaN,Regular,NaN,REGULAR INSTRUCTION
109071,Other Travel/Meeting Expense,NaN,Support Services--Pupils,NaN,NaN,Travel Mileage/Meeting Expense *,NaN,NaN,Direction of Support Services - Pupils *,NaN,NaN,-192.6,NaN,NaN,Miscellaneous Federal Grants,MINI GRANT
56451,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,541.4996,NaN,NaN,General Fund,NaN
65393,Professional Salaries,Bilingual Education,NaN,T-EL 3RD ESL,NaN,General,School,1,Instruction,NaN,NaN,60278.36,NaN,NaN,General Fund,NaN
165929,Professional Salaries,Accelerated Education,NaN,NaN,NaN,Math/Reading Middle School Initiative,School,1,Instruction,NaN,NaN,59603.32,NaN,NaN,General Fund,NaN
135586,General Supplies,Athletics and Related,NaN,NaN,NaN,Girls Soccer,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1300.25,NaN,NaN,Athletics,NaN
384566,SALARIES OF REGULAR EMPLOYEES,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY,"Manager, Safe/Drug Free Sh",NaN,NaN,FEDERAL PROGRAMS/EXTERNAL RESO,NaN,SAFE & DRUG FREE SCHLS/COMM,ADMINISTRATOR,NaN,1621.73,SAFE & DRUG FREE SCHOOLS,n/a,NaN,INSTRUCTIONAL STAFF
262022,EMPLOYER PD MED CONTRIBUTION,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY,"Manager, Special Ed Prog",NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,ADMINISTRATOR,NaN,251.64,NaN,n/a,NaN,INSTRUCTIONAL STAFF
446597,Professional Salaries,Basic Educational Services,NaN,T-HS FRENCH,NaN,General,School,1,Instruction,NaN,NaN,61628.88,NaN,NaN,General Fund,NaN
77231,Salaries for Support Personnel,Basic Educational Services,NaN,TCHR ASST,NaN,Overcrowding,Primary Center,1,Instruction,NaN,NaN,33924.95,NaN,NaN,General Fund,NaN
250172,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"HC, SOFTBALL",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,6718.183,NaN,NaN,Athletics,NaN
301653,ADDITIONAL/EXTRA DUTY PAY/STIP,GENERAL ELEMENTARY EDUCATION,FEDERAL GDPG FUND - FY,"Teacher, Elementary",NaN,NaN,NaN,NaN,TITLE I,PROFESSIONAL-INSTRUCTIONAL,NaN,640.3815,NaN,Regular,NaN,REGULAR INSTRUCTION
321650,Professional Salaries,Accelerated Education,NaN,T-EL BIL LIT CO,NaN,Reading Literacy,School,1,Instruction,NaN,NaN,64328.99,NaN,NaN,General Fund,NaN
33764,Professional Salaries,Undistributed,NaN,V/H TEST TECH,NaN,General,Health Services,1,Health Services,NaN,NaN,63918.82,NaN,NaN,General Fund,NaN
328771,EMPLOYER PD MED CONTRIBUTION,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Secondary (High)",NaN,NaN,NaN,NaN,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,NaN,504.06,NaN,Regular,NaN,REGULAR INSTRUCTION
356309,"Water,Wastewater, Sanitation",Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,22640.56,NaN,NaN,General Fund,NaN
340027,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,School,NaN,School Leadership,NaN,NaN,-0.13,NaN,NaN,General Fund,NaN
266293,Career Ladder,Basic Educational Services,NaN,CL,NaN,General,School,NaN,Instruction,NaN,NaN,3277.195,NaN,NaN,General Fund,NaN
273824,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary",NaN,NaN,ELEMENTARY EDUCATION,NaN,NON-PROJECT,UNDESIGNATED,NaN,-531.57,NaN,n/a,NaN,EMPLOYEE BENEFITS
82536,Supplemental *,NaN,Support Services - Instructional Staff,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Instructional Staff Training Services *,NaN,NaN,-51420.69,NaN,NaN,Title School Improvement Stimulus G,SI COMP
312133,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Intervention",NaN,NaN,ELEMENTARY EDUCATION,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,1030.63,NaN,n/a,NaN,EMPLOYEE BENEFITS
381729,Professional Salaries,Basic Educational Services,NaN,SOC SCI,NaN,General,School,1,Instruction,NaN,NaN,52739.69,NaN,NaN,General Fund,NaN
321275,Professional Salaries,Basic Educational Services,NaN,T-HS ENGLISH,NaN,General,School,1,Instruction,NaN,NaN,52964.02,NaN,NaN,General Fund,NaN
238150,NaN,Undistributed,NaN,NaN,NaN,General,Library Media Center,NaN,Instructional Resource & Media Services,NaN,NaN,44000.2,NaN,NaN,General Fund,NaN
179291,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,NaN,NaN,SSIG,School,NaN,Instruction,NaN,NaN,7602.772,NaN,NaN,General Fund,NaN
313397,Salaries for Support Personnel,Accelerated Education,NaN,NaN,NaN,General,County Day School,NaN,School Leadership,NaN,NaN,0.09,NaN,NaN,Title I- Part D,NaN
349198,Salaries And Wages For Teachers And Other Professi,High School Allotment,High School Allotment,"TEACHER, SPECIAL EDUCATION",Instruction And Curriculum,Extended Year,Summer School,NaN,Instruction,TEACHER BACHELOR,NaN,260.4986,NaN,NaN,General Operating Fund,EXTENDED YEAR
265141,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,0.4,Instruction,NaN,NaN,24921.11,NaN,NaN,General Fund,NaN
238487,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,Misc,SCHOOL NUTRITION SERVICE,NaN,NaN,NaN,NaN,NaN,SCHOOL NUTRITION,NaN,NaN,310.65,NaN,NaN,School Nutrition Service Fund,NaN
120140,NON-CAPITALIZED EQUIP,NaN,NaN,NaN,NaN,NaN,School,NaN,FACILITIES ACQ AND CONST,NaN,NaN,4248.76,NaN,NaN,MILLAGE,SCHOOL OPERATING ACCOUNT
341934,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,BAND DIRECTOR,NaN,General,School,NaN,Instruction,NaN,NaN,10277.99,NaN,NaN,General Fund,NaN
257395,Copier Rental,Accelerated Education,NaN,NaN,NaN,Cycle (used for grants),School,NaN,Community Services,NaN,NaN,85.69,NaN,NaN,Century Community Learning,NaN
96548,Professional Salaries,Athletics and Related,NaN,T-HS ATHL,NaN,General,School,0.2,Cocurricular & Extra Curricular Activities,NaN,NaN,10705.05,NaN,NaN,Athletics,NaN
84494,WORKSHOP PARTICIPANT,NaN,NaN,BUS DRIVER,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,74.606,NaN,NaN,GENERAL FUND,NaN
320588,Salaries for Support Personnel,Undistributed,NaN,ADMIN ASST II,NaN,General,School,1,School Leadership,NaN,NaN,37470.82,NaN,NaN,General Fund,NaN
399770,NaN,NaN,LOCAL,Teacher,NaN,NaN,NaN,1,NaN,NaN,NaN,88551.99,GENERAL EDUCATION,NaN,NaN,NaN
361740,Professional Salaries,Basic Educational Services,NaN,SCIENCE,NaN,General,School,1,Instruction,NaN,NaN,52851.69,NaN,NaN,General Fund,NaN
64263,General Supplies,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,999.59,NaN,NaN,General Fund,NaN
