,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
356962,Substitute Compensation,Instruction,School Reported,School,Alternative,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,5.75E+01,Instruction - Regular,General Purpose School,NaN
356972,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT,NaN,NaN,ESE SCHOOL SPECIALIST,NaN,NaN,NaN,ESE,NaN,INST STAFF TRAINING SVCS,NaN,NaN,3.03E+02,NaN,FED THRU STATE-CASH ADVANCE,IDEA  PART B
357393,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,"Supt, Instructional",n/a,NaN,NaN,MS TEAM,0.089583,NON-PROJECT,NaN,ADMINISTRATOR,1.15E+04,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
357431,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Alternative,NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,1.44E+01,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
357635,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Regular,NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,2.98E+00,GENERAL MIDDLE/JUNIOR HIGH SCH,NaN,REGULAR INSTRUCTION
357724,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Psychologist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,ARRA - STIMULUS,Psychologist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,IDEA ARRA,NaN,PROFESSIONAL-INSTRUCTIONAL,6.69E+02,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
357754,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Purchased Services,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Purchased Services,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,4.04E+04,NaN,Special Trust,CC/OH SKILL BANK
357910,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Physical Therapist,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Physical Therapist,NaN,NaN,NaN,NaN,0.2,NaN,NaN,PHYSICAL THERAPIST,NaN,SPECIAL EDUCATION CATEGORY V,General Fund,NaN
357967,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,ATHLETICS,PUPIL ACTIVITY FUND,Asst Coach,n/a,NaN,NaN,ATHLETICS & STUDENT ACTIVITIES,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,3.53E+03,MALE ATHLETICS/SPORTS ACTIVITI,NaN,COCURRICULAR ED/ACTIVITIES
358067,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Secretaries,NaN,NaN,NaN,NaN,Board of Education,NaN,NaN,0,NaN,NaN,TIME CARDS,2.41E+03,District Administration,General Purpose School,NaN
359245,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,SALARIES FOR OVERTIME,TRANSPORTATION,GENERAL FUND,Bus Driver  to  Yrs,n/a,NaN,NaN,GARAGE,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",1.19E+01,TRANSPORTATION-OPERATIONS,NaN,STUDENT TRANSPORTATION
359578,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Hour Bus Driver  Yrs,n/a,NaN,NaN,GARAGE,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,4.02E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
360065,Special Population Program Management & Support,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,NaN,TITLE VIB FLOWTHRU ARRA OF,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,PUPIL SERVICES,NaN,NaN,5.97E+02,"ARRA - IDEA Title VI,B Flow Thru funds",Special Education,NaN
361158,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,Nurse,Regular,NaN,NaN,NaN,0.189502,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,8.47E+03,NURSING SERVICES,NaN,STUDENTS
361268,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,PURCHASED FOOD,NaN,SCHOOL NUTRITION SERVICE,NaN,NaN,NaN,NaN,NaN,NaN,SCHOOL NUTRITION,NaN,NaN,9.58E+03,Misc,School Nutrition Service Fund,NaN
361551,Human Resources,Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,PERSONNEL SERVICES,LEVY OVERRIDE,Computer Lab Technician,n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,7.95E+01,STAFF SERVICES,NaN,CENTRAL
361749,Human Resources,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL - EMPLOYEES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,SUPPORT SERVICES-CENTRAL,NaN,NaN,4.73E+01,Misc,General Fund,NaN
362058,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,"MANAGEMENT,DIRECTION & OVERSIGHT",LOCAL,REGIONAL SUPERINTENDENT,NaN,NaN,NaN,INSTRUCTIONAL SUPERINTENDENTS,1,NaN,NaN,NaN,1.63E+05,NaN,NaN,NaN
362232,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Psychologist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,STUDENT SERVICES CHARTER SCHOO,GENERAL FUND,Psychologist,n/a,NaN,NaN,PSYCHOLOGICAL SERVICES,NaN,STUDENT SERVICES/CHARTER SCHLS,NaN,PROFESSIONAL-INSTRUCTIONAL,1.23E+02,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
362786,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,Occupational Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION - ITINERANT,NaN,PROFESSIONAL-INSTRUCTIONAL,1.85E+02,SPECIAL EDUCATION-OT,NaN,SPECIAL EDUCATION
362808,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,Psychologist,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,9.40E+02,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
363271,Physical Health & Services,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,MEDICAID,DISTRICT SPECIAL REVENUE FUNDS,Office Support II,n/a,NaN,NaN,NaN,0.594182,MEDICAID CONSORTIUM STAFF BUDG,NaN,OFFICE/ADMINISTRATIVE SUPPORT,2.46E+04,OTHER FISCAL SERVICES,NaN,BUSINESS
363549,Other Compensation,Instruction,Shared Services,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Operations,TO BE TERMINATED,NaN,Basic Educational Services - District Objective,Salaries And Wages For Teachers And Other Professi,Undistributed,NaN,Instruction,Campus Overtime,TEACHER BACHELOR,7.91E+02,Basic Educational Services,General Operating Fund,SICK PAY NOT SMOOTHED
363843,Teacher Compensation,Instruction,School Reported,School,Alternative,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,NaN,0,NaN,NaN,TIME CARD CERTIFIEDAddl,3.50E+02,Instruction - Regular,General Purpose School,NaN
364767,Facilities & Maintenance,O&M,School on Central Budgets,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,NaN,Operations,MAINTENANCE WORKERS,NaN,NaN,Salaries Or Wages For Support Personnel,Undistributed,1,Facilities Maintenance And Operations,Maintenance Department Administration,TECHNICIAN    DAYS,4.45E+04,Undistributed,General Operating Fund,REGULAR PAY
364857,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,NaN,Community Services,NaN,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Non-Public School Services *,NaN,NaN,-1.01E+04,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I CARRYOVER-PUBLIC
364910,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",SALARIES OF PART TIME EMPLOYEE,NaN,DISTRICT SPECIAL REVENUE FUNDS,Community School Child Care,NaN,NaN,NaN,COMMUNITY EDUCATION,0.041794,CAMPS,NaN,PARAPROFESSIONAL,9.33E+02,COMMUNITY SERVICE,NaN,COMMUNITY SERVICES OPERATION
365197,Security & Safety,NO_LABEL,Shared Services,Non-School,NO_LABEL,Coordinator/Manager,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Risk Manager,NaN,NaN,NaN,ADMIN. SERVICES,1,NaN,NaN,NONE,9.32E+04,Misc,General Fund,NaN
365724,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Principal, Asst Elem Sch",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,4.01E+03,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
365834,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,DISTRICT SPECIAL REVENUE FUNDS,Project Manager,n/a,NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,TEACHING FELLOWS,NaN,PROFESSIONAL-OTHER,1.32E+03,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
366005,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES,NaN,NaN,SECRETARY II,NaN,NaN,NaN,GROWTH,NaN,"PLANNING,RES,DEV,& EVAL",NaN,NaN,5.77E+01,NaN,GENERAL FUND,CLASSIFIED CLERICAL BONUS
366027,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,NaN,Operations,CUSTODIAN REGULAR,NaN,NaN,Salaries Or Wages For Support Personnel,School,1,Facilities Maintenance And Operations,Custodial Department,ANY CUS WHO IS NOT A SUPER,2.46E+04,Undistributed,General Operating Fund,REGULAR PAY
366755,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,Campus Security Officer,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,4.62E+02,SCHOOL SECURITY,NaN,OPERATION AND MAINT OF PLANT
366826,School Administration,Leadership,School Reported,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,CLERICAL,Support Services - Administration,JUNIOR SECRETARY,NaN,NaN,NaN,EN CLASSIFIED SLRY/HRLY/DA,1,Office of the Principal Services*,NaN,NaN,5.00E+04,NaN,General,SCHOOL BASED MANAGEMENT
367408,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,MILD MODERATE,GENERAL FUND,NaN,Regular,NaN,NaN,NaN,0.015972,SPECIAL ED. - MILD/MODERATE,NaN,PARAPROFESSIONAL,3.50E+02,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION
367459,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,Transportation - Bus Drivers,Extra Duty Pay/Overtime For Support Personnel,Undistributed,NaN,Transportation,Transportation Department,BUS DRIVER,1.84E+01,Undistributed,General Operating Fund,OVERTIME
367895,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Director, School of Choice",n/a,NaN,NaN,SCHOOL CHOICE,0.16667,NON-PROJECT,NaN,PROFESSIONAL-OTHER,1.81E+04,"PLANNING,RESEARCH,DEVELOPMENT",NaN,CENTRAL
367974,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Guidance Counselor,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,ATHLETICS,PUPIL ACTIVITY FUND,"Student Advisor, High Sch",n/a,NaN,NaN,ATHLETICS & STUDENT ACTIVITIES,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,5.26E+03,MALE ATHLETICS/SPORTS ACTIVITI,NaN,COCURRICULAR ED/ACTIVITIES
368125,Communications,Leadership,Leadership & Management,Non-School,ELL,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,MULTILINGUAL OUTREACH,GENERAL FUND,Bilingual Translator,n/a,NaN,NaN,MULTILINGUAL OUTREACH,NaN,STATE ELPA (ENG LANG PROF ACT),NaN,OFFICE/ADMINISTRATIVE SUPPORT,7.57E+01,PUBLIC COMMUNICATIONS SERVICES,NaN,CENTRAL
368624,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER LEARNING & LEADERSHIP,ARRA - STIMULUS,"Teacher, Short Term Sub",Turnaround,NaN,NaN,NaN,NaN,TITLE I A - ARRA,NaN,PROFESSIONAL-INSTRUCTIONAL,6.80E-01,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
368729,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,MILL LEVY,"Facilitator,Sec Humanities",Regular,NaN,NaN,NaN,NaN,INNOVATION FUND,NaN,PROFESSIONAL-INSTRUCTIONAL,5.10E+02,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
368789,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,FEDERAL GDPG FUND - FY,Occupational Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,0.199394,TITLE VI-IDEA B-MAIN,NaN,PROFESSIONAL-INSTRUCTIONAL,1.87E+04,SPECIAL EDUCATION-OT,NaN,SPECIAL EDUCATION
369147,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Lead Operator-Computer Ctr,n/a,NaN,NaN,IST - SYSTEMS SUPPORT,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,6.78E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
369172,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,ELA E-TEACHING SHELTERED ENG,NaN,PROFESSIONAL-INSTRUCTIONAL,5.04E+02,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
369481,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School Reported,School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Other Professional and Technical Services,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Professional And Technical Services *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,-2.09E+05,NaN,Special Trust,NaN
369572,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,NaN,NaN,NaN,NaN,Targeted Pre-K Initiative,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,7.05E+01,Support - Regular Instruction,ITEMFA Schools Partnership,PRE KINDERGARTEN
369757,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Travel & Conferences,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,NaN,NaN,NaN,NaN,Board of Education,NaN,NaN,0,NaN,NaN,Travel Allotment,4.32E+03,District Administration,General Purpose School,NaN
369951,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental *,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Instructional Staff Training Services *,NaN,NaN,-1.04E+06,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I-HQT PD SET-ASIDE
370296,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,NaN,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,2.39E+03,Misc,Schoolwide Schools,NaN
370396,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,"Supt, Instructional",n/a,NaN,NaN,ES TEAM,NaN,NON-PROJECT,NaN,ADMINISTRATOR,3.36E+02,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
370739,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,Non PreK,PreK-12 Operating,Other Utilities,NaN,NaN,NaN,NaN,NaN,Waste Water Treatment And Sanitation,School,NaN,Facilities Maintenance And Operations,Child Nutrition,NaN,1.82E+03,Undistributed,National School Breakfast And Lunch Program,NaN
370816,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Instructional Coach,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,TCHER PROJECT GRAD,NaN,Project Grad,NaN,NaN,1,NaN,NaN,TEACHER,4.74E+04,Instruction - Regular,General Purpose School,NaN
371386,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,ITEMGG-CUSTOMER RELATIONS MGMT,GENERAL FUND,"Specialist III, PC App",n/a,NaN,NaN,CUSTOMER RELATIONS MANAGEMENT,NaN,NON-PROJECT,NaN,PROFESSIONAL-OTHER,3.93E+03,INFORMATION SYSTEMS SERVICES,NaN,CENTRAL
371428,Research & Accountability,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Specialist II,NaN,NaN,NaN,ADMIN. SERVICES,0.13,NaN,NaN,NONE,1.10E+04,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,NaN
371895,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,ADMINISTRATOR,NaN,NaN,PRINCIPAL-ELEM,NaN,NaN,NaN,School,1,SCH ADMIN (OFFICE OF PRINC),NaN,NaN,1.06E+05,NaN,GENERAL FUND,NaN
372160,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,NONCAPITALIZED  REMOD/RENOV,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,FACILITIES ACQ AND CONST,NaN,NaN,2.89E+02,NaN,MILLAGE,SAFETY AND SECURITY
372312,Other Non-Compensation,Instruction,School Reported,School,Unspecified,Non-Position,NO_LABEL,NO_LABEL,PreK-12 Operating,GRANTS AND GRATUITIES,GENERAL EDUCATION,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SUBSIDIES AND TRANSFERS,8.75E+02,INSTRUCTIONAL PROGRAMS,LOCAL FUND,NaN
372481,Utilities,O&M,School Reported,School,Unspecified,Non-Position,Rent/Utilities,Non PreK,PreK-12 Operating,Utilities - Electricity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,3.45E+05,Operations,General Purpose School,NaN
372619,Facilities & Maintenance,O&M,School Reported,School,Gifted,Non-Position,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITAL EQUIPMENT,NaN,GENERAL FUND,(blank),Regular,NaN,NaN,NaN,NaN,STATE - GIFTED AND TALENTED,NaN,UNDESIGNATED,6.65E+02,GIFTED AND TALENTED,NaN,REGULAR INSTRUCTION
372820,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,NaN,NaN,NaN,NaN,Regular Instructional Support,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,1.40E+02,Support - Regular Instruction,General Purpose School,NaN
373370,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,TA,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Case Partnership Project,"CLASSROOM AIDE, SPECIAL ED.",NaN,Extra Duty,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Social Work Services,Instruction And Curriculum,AB AIDE,5.18E+03,Undistributed,Title Iv Part B  Century Community Learning Ce,MISCELLANEOUS
373687,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,ARRA - STIMULUS,Speech Language Pathologst,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,IDEA ARRA,NaN,PROFESSIONAL-INSTRUCTIONAL,5.00E+02,SPECIAL EDUCATION-S/L-ATRT,NaN,SPECIAL EDUCATION
374536,Special Population Program Management & Support,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,NaN,TITLE VIB FLOWTHRU ARRA OF,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,INSTRUCTION,NaN,NaN,9.12E+02,"ARRA - IDEA Title VI,B Flow Thru funds",Special Education,NaN
374884,Governance,Leadership,Leadership & Management,Non-School,Poverty,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,NaN,Title  Part A Improving Basic Programs,CLERICAL SUPPORT,NaN,Regular Salary,Salaries Or Wages For Support Personnel,Administration - No Description Provided,0.26,General Administration,Instruction And Curriculum,CO CLERICAL,6.74E+03,Accelerated Education,Title  Part A Improving Basic Programs,REGULAR PAY
375146,NO_LABEL,NO_LABEL,NO_LABEL,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,DUES AND FEES,NaN,LEARN AND SERVE AMERICA,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,5.25E+02,"REGULAR SCHOOL BASED PROJECT, LEARN AND SERVE AMERICA",Learn And Serve America,NaN
375900,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,NaN,Community Services,NaN,NaN,NaN,Supplies And Materials,NaN,NaN,Other Community Services *,NaN,NaN,1.80E+03,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PI+HOMELESS
376130,Student Assignment,Leadership,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Secretary, Executive I",n/a,NaN,NaN,SCHOOL CHOICE,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,9.82E+02,"PLANNING,RESEARCH,DEVELOPMENT",NaN,CENTRAL
376244,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Poverty,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,FEDERAL GDPG FUND - FY,SFPC Liaison Specialist,Regular,NaN,NaN,NaN,NaN,TITLE I,NaN,PROFESSIONAL-OTHER,6.16E+02,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
